Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Charlotte Hornets,62,243.2,42.3,92.3,0.459,13.7,38.3,0.357,28.6,54,0.531,15.8,21.5,0.735,11.1,34.2,45.3,27.2,8.7,4.9,13.5,20,114.2
2,Memphis Grizzlies,62,241.2,42.9,93.6,0.458,11,32.4,0.34,31.9,61.3,0.52,17.1,23.3,0.735,14.1,35.1,49.2,25.3,10,6.4,13.4,19.6,113.8
3,Utah Jazz,60,240,40.7,86,0.474,14.6,40.2,0.363,26.1,45.8,0.571,17.8,22.7,0.781,10.3,35.7,46,22.3,7.2,4.9,14.2,18.8,113.8
4,Phoenix Suns,61,240.4,43.1,89.5,0.482,11.3,31.5,0.361,31.8,58,0.548,16,20.2,0.793,10,35.9,45.8,27,8.6,4.3,13,19.2,113.6
5,Milwaukee Bucks,61,240.8,41,88.9,0.461,14.2,39.2,0.362,26.8,49.7,0.54,17.1,22.2,0.772,10.1,36.3,46.4,23.4,7.6,4,13.6,18.2,113.3
6,Minnesota Timberwolves,61,241.6,40.9,91.6,0.447,14.4,41.5,0.346,26.6,50.1,0.53,16.9,22.1,0.763,11.9,32.9,44.7,25.1,8.5,5.9,14.5,21.8,113.1
7,San Antonio Spurs,61,242,43.8,93.3,0.469,11.1,31.4,0.355,32.6,61.9,0.526,14.2,19,0.745,11.1,34.3,45.4,28.2,7.6,5,12.8,18.1,112.8
8,Chicago Bulls,61,240.4,42,87.1,0.482,11.1,29.6,0.376,30.9,57.5,0.537,17.4,21.4,0.815,8.8,34.5,43.3,24.2,7.1,4.5,12.9,18.6,112.6
9,Atlanta Hawks,60,240,41.2,87.9,0.468,12.6,33.4,0.377,28.6,54.5,0.525,17.5,21.8,0.804,9.9,34.5,44.4,24.4,6.9,4.4,12.3,18.5,112.4
10,Brooklyn Nets,61,240.8,41.4,88.8,0.466,11.1,31.9,0.349,30.2,56.9,0.532,17,21.2,0.803,10.3,34.4,44.6,24.8,7,5.3,13.7,19.9,111
11,Golden State Warriors,61,240.8,40.3,86.5,0.466,14.5,40.1,0.36,25.9,46.4,0.558,15.7,20.5,0.763,9.8,36,45.8,27.3,9.4,4.8,15.1,20.4,110.8
12,Denver Nuggets,61,240.8,41,86.5,0.475,13,36.6,0.356,28,49.9,0.562,15.4,19.5,0.79,9,35.1,44.1,27.2,7.2,3.7,14.4,19.4,110.5
